period,state,handgun,long_gun,multiple,year,month
2016-10,Florida,55003,29711,4604,2016,10
2016-10,Georgia,15179,13488,1328,2016,10
2016-10,Hawaii,0,0,0,2016,10
2016-10,Idaho,4304,6366,416,2016,10
2016-10,Illinois,37385,16213,2180,2016,10
2016-10,Indiana,23164,18543,1658,2016,10
2016-10,Iowa,243,3913,22,2016,10
2016-10,Kansas,7180,7453,836,2016,10
2016-10,Kentucky,11122,11033,1038,2016,10
2016-10,Louisiana,13052,15040,1358,2016,10
2016-10,Maine,4752,7619,870,2016,10
2016-10,Maryland,4708,7465,64,2016,10
2016-10,Massachusetts,7057,4048,396,2016,10
2016-10,Michigan,13948,14893,574,2016,10
2016-10,Minnesota,12533,20408,1022,2016,10
2016-10,Mississippi,8320,9155,812,2016,10
2016-10,Missouri,24193,23011,2392,2016,10
2016-10,Montana,3339,7358,542,2016,10
2016-10,Nebraska,158,3099,16,2016,10
2016-10,Nevada,6175,3818,756,2016,10
2016-10,New Hampshire,6565,5139,8,2016,10
2016-10,New Jersey,5930,5024,0,2016,10
2016-10,New Mexico,5994,5309,564,2016,10
2016-10,New York,11902,23203,438,2016,10
2016-10,North Carolina,1488,17578,434,2016,10
2016-10,North Dakota,1841,4896,226,2016,10
2016-10,Ohio,33652,24190,3042,2016,10
2016-10,Oklahoma,12716,12458,1704,2016,10
2016-10,Oregon,16224,14753,0,2016,10
2016-10,Pennsylvania,62520,17845,0,2016,10
2016-10,Rhode Island,1278,1045,428,2016,10
